numberOfVersionsUntil:;numberOfFixesUntil:;numberOfRefactoringsUntil:;numberOfAuthorsUntil:;linesAddedUntil:;maxLinesAddedUntil:;avgLinesAddedUntil:;linesRemovedUntil:;maxLinesRemovedUntil:;avgLinesRemovedUntil:;ageWithRespectTo:;weightedAgeWithRespectTo:;predictedbugs;bugs
17;4;0;5;112;48;658.824;120;48;705.882;367;517.564;0.01;0
21;5;0;5;161;72;766.667;178;72;847.619;367;584.667;0;0
118;13;0;9;2331;412;197.542;1959;412;166.017;367;803.105;0.56;0
32;5;0;5;256;81;8;253;81;790.625;367;132.693;0.04;0
32;5;0;5;183;57;571.875;150;57;46.875;367;902.795;0.07;0
11;4;0;4;52;12;472.727;40;9;363.636;322.714;298.517;0.03;0
150;14;0;9;3997;567;266.467;3783;567;25.22;367;141.094;2.01;6
73;5;0;7;777;178;106.438;674;178;923.288;367;735.067;0.36;0
47;6;0;7;515;168;109.574;429;168;912.766;367;100.545;0.11;0
22;6;0;4;506;120;23;625;208;284.091;217;133.701;0.32;0
48;6;0;7;1007;298;209.792;963;298;200.625;367;878.779;0.17;0
46;7;0;9;293;35;636.956;206;17;447.826;239.143;654.832;0.33;0
68;16;0;8;1930;237;283.824;1503;237;221.029;367;129.777;0.67;0
709;69;0;15;38598;2955;544.401;34292;2942;483.667;367;100.595;4.99;4
30;7;0;8;221;85;736.667;211;67;703.333;322.714;901.467;0.13;1
14;4;0;4;101;50;721.429;100;50;714.286;367;528.416;0;0
41;4;0;7;960;285;234.146;1208;297;294.634;367;643.007;0.06;0
23;8;0;5;177;63;769.565;41;7;178.261;229.714;159.927;0.13;0
9;1;0;3;28;8;311.111;19;6;211.111;169.571;353.418;0.09;0
45;11;0;7;337;78;748.889;213;78;473.333;367;122.181;0.04;2
35;8;0;9;383;96;109.429;300;68;857.143;228.143;270.653;0.22;1
48;6;0;7;900;257;18.75;407;47;847.917;229;478.178;0.39;1
41;17;1;8;485;75;118.293;120;43;292.683;222.714;717.756;0.23;0
46;9;0;5;5807;1581;126.239;6763;2499;147.022;367;769.932;0.6;0
46;15;0;8;830;189;180.435;431;189;936.956;333.143;993.661;0.18;0
4;1;0;2;80;40;20;22;11;5.5;150.714;179.286;0.11;0
104;11;0;7;1487;369;142.981;1299;369;124.904;367;861.225;0.47;0
33;6;0;6;192;67;581.818;180;67;545.455;367;727.991;0.01;0
1;0;0;1;0;0;0;0;0;0;871.429;0;0.02119;0
198;13;0;9;3617;488;182.677;3066;488;154.848;367;105.595;1.35;3
51;7;0;6;633;170;124.118;580;170;113.725;367;123.074;0.16;0
1;0;0;1;0;0;0;0;0;0;147.143;0;0;0
31;7;0;6;334;147;107.742;361;164;116.452;367;534.363;0.08;0
520;132;0;12;65571;7452;126.098;59724;7452;114.854;367;96.248;4.9;4
74;9;0;10;1263;547;170.676;961;547;129.865;329;597.003;0.71;1
40;4;0;8;441;204;11.025;440;204;11;367;506.838;0.18;0
52;12;0;9;741;156;14.25;356;156;684.615;333.143;962.851;0.5;0
57;13;0;6;854;168;149.825;614;100;107.719;367;138.317;0.28;1
32;7;0;7;237;33;740.625;190;41;59.375;291;81.135;0.21;0
18;4;0;4;93;33;516.667;85;33;472.222;367;559.708;0.03;0
56;7;0;7;1082;225;193.214;889;225;15.875;367;503.331;0.53;0
10;0;0;2;223;73;22.3;254;97;25.4;89;220.756;0.46;0
25;3;0;7;244;83;9.76;216;83;8.64;367;965.269;0.19;0
39;6;0;5;302;73;774.359;312;73;8;367;616.485;0.24;0
1;0;0;1;0;0;0;0;0;0;211.429;0;0.0075;0
106;5;0;7;2472;179;233.208;1233;137;116.321;204.714;786.175;1.38;8
2;0;0;1;11;11;5.5;3;3;1.5;126;0.142857;0.025;0
17;2;0;7;99;22;582.353;62;14;364.706;217;625.815;0.2;1
88;29;0;10;1783;180;202.614;1339;161;152.159;261.571;109.425;1.25;0
32;6;0;6;643;183;200.938;92;12;2.875;226;570.384;0.07;0
26;4;0;4;136;55;523.077;136;55;523.077;367;489.181;0.01;0
25;6;0;5;153;36;6.12;71;13;2.84;217;642.838;0.08;0
81;8;0;9;7934;1737;979.506;7679;1737;948.025;367;118.127;1.24;0
26;5;0;9;130;37;5;96;37;369.231;329;714.352;0.09;0
11;3;0;4;34;7;309.091;24;5;218.182;175;341.513;0.01;0
13;2;0;4;52;18;4;56;31;430.769;261.571;484.698;0.02;0
9;5;0;4;12;4;133.333;11;4;122.222;224.857;769.405;0;0
36;5;0;6;670;83;186.111;337;71;936.111;354.571;805.139;0.19;0
99;5;0;8;1946;315;196.566;856;116;864.646;220.714;498.048;0.94;1
55;8;0;7;671;184;12.2;668;184;121.455;367;693.709;0.47;0
2;0;0;1;0;0;0;0;0;0;133.571;0;0.104167;1
35;8;0;6;957;285;273.429;276;86;788.571;239.571;121.797;0.1;0
17;4;0;5;478;226;281.176;487;226;286.471;367;414.441;0.16;0
450;12;0;12;25117;1261;558.156;21204;1261;47.12;367;965.124;3.88;8
31;19;0;6;515;95;166.129;374;92;120.645;193;330.488;0.07;0
8;1;0;4;13;6;1.625;10;6;1.25;264.857;702.308;0.26;0
9;1;0;3;17;10;188.889;15;5;166.667;131.857;154.958;0.02;0
74;7;0;9;423;44;571.622;352;50;475.676;325;119.241;0.14;0
36;4;0;4;374;76;103.889;376;76;104.444;367;709.236;0.3;0
479;70;2;12;22297;2482;465.491;16639;2576;34.737;367;129.576;3.67;8
12;4;0;7;26;5;216.667;15;4;1.25;282;903.571;0.15;0
239;14;0;12;13423;873;561.632;12995;896;543.724;367;549.122;2.34;1
21;5;0;6;344;131;16.381;560;154;266.667;367;521.578;0.18;0
35;9;0;6;253;66;722.857;236;66;674.286;367;99.738;0.02;0
6;2;0;3;39;36;6.5;37;34;616.667;140.143;152.344;0.06;0
172;70;0;8;6871;959;399.477;3179;425;184.826;264.857;166.729;1.71;9
22;4;0;6;282;92;128.182;305;92;138.636;367;480.942;0.25;0
1;0;0;1;0;0;0;0;0;0;147.143;0;0;0
39;4;0;9;544;138;139.487;270;59;692.308;236;295.176;0.27;0
18;3;0;5;64;25;355.556;51;25;283.333;367;936.473;0;0
2;0;0;1;58;58;29;16;16;8;205.714;147.143;0.73;0
9;4;0;3;28;9;311.111;29;10;322.222;322.714;528.061;0.11;0
31;3;0;6;637;155;205.484;629;155;202.903;367;749.388;0.02;0
46;5;0;7;480;224;104.348;826;320;179.565;279.571;48.9;0.63;0
63;5;0;9;926;258;146.984;829;302;131.587;367;978.383;0.58;0
171;14;0;10;6363;924;372.105;5607;935;327.895;367;124.878;1.02;7
30;4;0;5;328;143;109.333;321;143;10.7;367;394.787;0.01;0
15;4;0;5;203;74;135.333;53;19;353.333;207.143;104.215;0.01;0
34;2;0;7;243;47;714.706;245;51;720.588;243;266.238;0.31;0
217;57;0;9;26252;5690;120.977;25827;5690;119.018;367;933.903;3.55;3
51;13;0;8;765;349;15;572;349;112.157;333.143;444.293;0.48;1
21;4;0;5;293;73;139.524;151;38;719.048;281.143;348.649;0.18;0
29;20;0;3;2876;1767;991.724;4032;2292;139.034;126.571;598.261;1.29;2
35;16;0;6;209;27;597.143;195;39;557.143;264.857;468.776;0.27;0
30;4;0;4;168;30;5.6;165;30;5.5;367;47.159;0.17;0
54;6;0;8;373;95;690.741;550;95;101.852;367;852.539;0.35;0
12;2;0;3;36;7;3;10;4;0.833333;105;699.286;0.23;0
9;3;0;4;32;11;355.556;26;6;288.889;244.714;252.679;0.03;0
14;4;0;5;18;4;128.571;18;4;128.571;238.429;458.175;0.08;0
15;4;0;5;297;131;19.8;31;12;206.667;218.857;130.702;0.09;0
21;3;0;4;192;37;914.286;52;11;247.619;227.571;109.219;0.19;0
14;5;0;6;19;4;135.714;40;23;285.714;236.143;101.602;0.07;0
10;3;0;6;152;67;15.2;14;4;1.4;240.857;547.462;0.06;0
2;0;0;1;9;9;4.5;0;0;0;147.143;957.143;0.03;0
16;5;0;5;55;9;34.375;51;9;31.875;322.714;658.883;0.02;0
16;3;0;7;151;39;94.375;174;99;10.875;193.571;30.017;0.21;0
44;6;0;7;326;98;740.909;306;98;695.455;367;768.418;0.06;0
41;6;0;6;275;107;670.732;318;107;77.561;367;546.197;0.15;0
3;0;0;3;1;1;0.333333;1;1;0.333333;162.571;0;0.02;0
38;14;0;7;536;253;141.053;345;253;907.895;333.143;63.662;0.13;0
15;4;0;5;138;90;9.2;31;5;206.667;262;46.558;0.16;0
56;6;0;9;1654;573;295.357;2240;731;40;367;687.153;0.76;0
21;4;0;7;409;125;194.762;49;9;233.333;226;916.242;0.2;0
2;1;0;2;4;4;2;4;4;2;173;0.142857;0.16;0
1;1;0;1;0;0;0;0;0;0;605.714;0;0.035;0
18;4;0;7;119;24;661.111;40;10;222.222;295.143;929.208;0.12;0
41;13;0;7;631;227;153.902;379;227;92.439;333.143;704.743;0.11;0
48;6;0;8;490;54;102.083;539;74;112.292;329.143;136.203;0.32;1
93;9;0;9;1212;205;130.323;1158;205;124.516;367;109.407;0.8;0
11;3;0;5;43;27;390.909;44;30;4;245.857;91.814;0.16;0
116;17;0;7;3119;686;268.879;2283;686;19.681;367;866.224;1.41;1
9;4;0;3;20;4;222.222;16;4;177.778;229.714;263.143;0.07;0
30;8;0;7;231;120;7.7;312;120;10.4;343;533.006;0.18;1
6;0;0;1;46;17;766.667;3;3;0.5;140.143;421.429;0.28;0
38;4;0;6;346;68;910.526;237;54;623.684;324.571;163.814;0.07;1
31;4;0;7;242;95;780.645;238;95;767.742;367;536.429;0.06;0
8;3;0;4;29;7;3.625;18;5;2.25;175;350.394;0.1;0
60;4;0;7;864;247;14.4;586;247;976.667;367;100.701;0.43;0
167;30;0;9;9461;891;566.527;8615;891;515.868;367;493.227;1.09;1
15;6;0;4;240;204;16;238;204;158.667;322.714;126.012;0.28;1
7;4;0;3;11;4;157.143;18;9;257.143;123.857;341.169;0.1;0
22;4;0;4;555;179;252.273;64;12;290.909;226;552.844;0.13;0
40;15;0;7;380;151;9.5;235;151;5.875;333.143;696.068;0.05;0
124;14;0;5;4604;1294;37.129;4049;1294;326.532;367;541.314;1.67;0
37;13;0;7;344;128;92.973;199;128;537.838;333.143;731.208;0.04;0
6;4;0;3;7;4;116.667;7;4;116.667;213.857;55.449;0.06;0
72;5;0;9;1022;167;141.944;1141;167;158.472;367;860.914;0.78;0
73;8;0;7;947;197;129.726;932;197;127.671;367;103.703;0.66;0
155;22;0;11;7314;1614;471.871;2435;365;157.097;322.714;124.661;1.58;4
26;4;0;6;112;23;430.769;101;23;388.462;367;111.855;0.04;0
53;7;0;8;551;146;103.962;517;146;975.472;367;943.088;0.47;0
7;1;0;4;11;5;157.143;7;2;1;170.571;496.623;0.13;0
65;8;0;8;578;75;889.231;318;84;489.231;248.571;495.704;0.38;3
15;3;0;8;49;9;326.667;114;44;7.6;220.143;374.752;0.27;0
3;1;0;2;2;1;0.666667;8;7;266.667;113.857;109.786;0.143333;0
43;10;0;8;523;180;121.628;524;180;12.186;367;986.651;0.38;0
63;4;0;7;1440;111;228.571;844;115;133.968;258;711.393;0.56;1
181;15;0;8;3880;684;214.365;3657;788;202.044;367;565.994;1.21;1
47;6;0;7;466;184;991.489;486;184;103.404;367;424.421;0.29;0
8;1;0;2;35;27;4.375;41;18;5.125;105;469.633;0.26;0
23;4;0;5;374;98;162.609;46;12;2;226;381.207;0.13;0
82;9;0;8;2965;334;361.585;2913;334;355.244;367;806.135;0.95;1
28;4;0;5;170;58;607.143;168;58;6;367;678.765;0.05;0
459;40;0;10;16606;1450;361.787;11374;1450;24.78;367;124.65;2.79;9
45;7;0;5;662;164;147.111;802;190;178.222;367;553.455;0.12;0
26;4;0;8;162;25;623.077;172;59;661.538;291;112.474;0.15;0
101;8;0;9;1134;223;112.277;1072;223;106.139;367;632.878;0.63;1
65;13;0;8;1524;259;234.462;832;259;12.8;333.143;894.058;0.32;0
39;4;0;7;278;63;712.821;275;63;705.128;367;771.454;0.04;0
21;4;0;5;215;75;102.381;213;75;101.429;367;474.591;0.14;0
25;6;0;4;267;71;10.68;241;71;9.64;367;107.064;0.1;0
7;2;0;5;47;20;671.429;47;15;671.429;231.571;596.231;0.2;0
4;1;0;3;127;70;31.75;1;1;0.25;158.714;147.795;0.12;0
73;13;0;7;2740;254;375.342;2537;254;347.534;367;373.137;2.06;2
14;4;0;6;25;4;178.571;18;4;128.571;282;921.657;0.19;0
1;0;0;1;0;0;0;0;0;0;125.714;0;0.425357;0
11;0;0;1;150;48;136.364;156;40;141.818;133.143;275.962;0.46;1
26;6;0;5;243;56;934.615;99;14;380.769;190.714;540.406;0.31;2
14;4;0;8;115;48;821.429;405;196;289.286;220.143;123.304;0.26;0
50;16;0;7;520;174;10.4;307;174;6.14;333.143;72.406;0.4;0
40;11;0;7;654;164;16.35;324;164;8.1;333.143;840.767;0.05;0
14;4;0;4;55;13;392.857;29;5;207.143;328.571;366.545;0.13;0
165;15;0;8;2290;594;138.788;1878;594;113.818;367;88.614;1.22;0
9;4;0;6;27;15;3;18;6;2;281.571;121.439;0.13;0
17;11;0;2;196;93;115.294;126;48;741.176;124;139.424;0.2;1
6;3;0;3;226;110;376.667;6;4;1;223.571;100.822;0.08;0
4;2;0;2;5;3;1.25;5;3;1.25;127;555.714;0.04;0
75;6;0;9;912;141;12.16;887;141;118.267;367;701.057;0.82;0
3;1;0;3;5;4;166.667;5;4;166.667;177.143;345.714;0.04;0
7;2;0;3;27;10;385.714;26;9;371.429;169.143;143.651;0.02;0
291;15;0;11;4847;924;166.564;4041;924;138.866;367;966.624;1.96;1
72;9;0;9;1300;434;180.556;1296;434;18;346.571;538.768;0.46;0
2;1;0;2;4;4;2;4;4;2;177.714;485.714;0.22;0
131;7;0;10;3730;879;284.733;3780;893;28.855;367;119.775;2.12;3
39;5;0;7;539;229;138.205;570;229;146.154;367;407.016;0.14;0
6;0;0;2;12;9;2;3;1;0.5;140.143;272.619;0.05;0
35;5;0;7;254;66;725.714;180;66;514.286;367;112.943;0.03;0
20;8;1;6;203;69;10.15;64;15;3.2;222.714;254.849;0.18;0
56;5;0;5;674;145;120.357;302;46;539.286;175.714;433.241;0.61;0
26;5;0;4;226;101;869.231;232;101;892.308;367;54.665;0.09;0
113;15;0;8;3649;1009;32.292;2677;1009;236.903;367;853.402;1.51;0
48;4;0;7;261;67;54.375;217;67;452.083;367;712.041;0.08;0
17;4;0;6;111;54;652.941;105;54;617.647;367;654.633;0.01;0
30;5;0;6;140;47;466.667;112;47;373.333;367;875.214;0.01;0
48;4;0;8;344;95;716.667;318;95;6.625;367;527.965;0.18;0
47;8;0;10;699;97;148.723;324;49;689.362;220.143;544.605;0.35;1
47;4;0;6;287;72;610.638;313;72;665.957;367;490.383;0.08;0
25;4;0;5;184;63;7.36;181;63;7.24;367;646.483;0.05;0
39;10;0;7;984;257;252.308;197;49;505.128;239.571;163.291;0.18;0
68;6;0;9;503;47;739.706;439;56;645.588;248.571;559.912;0.57;1
61;11;0;7;450;77;737.705;285;77;467.213;367;110.808;0.14;0
189;86;0;12;6311;991;333.915;4457;991;23.582;333.143;100.199;2.18;1
34;5;0;5;287;92;844.118;221;92;6.5;367;107.619;0.1;0
4;3;0;2;6;4;1.5;6;4;1.5;185.571;326.905;0;0
3;3;0;1;2;1;0.666667;2;1;0.666667;168.857;56;0.03;0
4;2;0;3;11;10;2.75;1;1;0.25;136.143;207.013;0.03;0
35;7;0;6;667;198;190.571;99;12;282.857;239.571;128.297;0.05;0
71;5;0;9;863;149;121.549;560;84;788.732;278.857;137.885;0.57;0
7;1;0;5;28;15;4;72;68;102.857;132.143;737.755;0.24;0
19;2;0;5;242;65;127.368;199;108;104.737;136.571;12.768;0.19;1
143;8;0;9;2802;441;195.944;1959;443;136.993;367;144.063;1.25;3
113;11;0;8;2134;553;18.885;1731;553;153.186;331.857;102.769;0.92;0
72;7;0;9;921;208;127.917;394;80;547.222;223.571;533.802;0.79;1
4;0;0;1;25;16;6.25;2;2;0.5;140.143;184.571;0.01;0
33;3;0;7;160;35;484.848;114;18;345.455;282;544.366;0.15;0
44;3;0;7;402;70;913.636;309;70;702.273;367;824.879;0.13;0
178;13;0;11;3899;491;219.045;2892;491;162.472;367;137.097;1.16;1
67;4;0;7;756;160;112.836;381;73;568.657;222.143;334.348;0.63;0
50;17;0;7;784;172;15.68;448;100;8.96;281.857;107.182;0.39;0
149;9;0;10;2389;507;160.336;1947;507;130.671;367;960.364;0.89;4
18;3;0;4;106;23;588.889;26;6;144.444;227.571;922.237;0.01;0
22;4;0;5;105;32;477.273;88;32;4;367;646.762;0.07;0
71;5;0;7;4282;1609;603.099;3119;728;439.296;367;173.635;1.22;0
15;4;0;5;35;9;233.333;51;9;3.4;322.714;602.939;0.05;0
28;4;0;4;168;59;6;159;59;567.857;367;527.798;0.01;0
65;19;0;7;1096;168;168.615;858;168;13.2;367;134.997;0.59;0
19;4;0;4;81;25;426.316;76;25;4;367;607.372;0.04;0
86;14;0;8;2498;707;290.465;2331;707;271.046;367;104.837;0.97;0
18;4;0;4;124;32;688.889;125;32;694.444;367;695.184;0;0
64;8;0;10;1977;763;308.906;2315;879;361.719;367;561.353;0.89;2
26;4;0;4;136;52;523.077;136;52;523.077;367;480.872;0.01;0
58;14;0;6;1017;246;175.345;1267;281;218.448;367;111.411;0.47;0
35;5;0;9;322;48;9.2;156;31;445.714;239.143;586.792;0.21;0
34;5;0;7;690;119;202.941;319;84;938.235;216;907.422;0.36;1
3;3;0;1;32;27;106.667;3;2;1;657.143;495.536;0.21;0
51;8;0;10;2071;317;406.078;224;30;439.216;219.857;807.057;0.5;1