contains_bug,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,glm_probability,rf_probability
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,4.0,6.207916666666667,1.0,200.0,20.172962335147695,39.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,9.0,2.0,186.0,True,4.0,7.784537037037037,1.0,199.0,19.82805675763343,125.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,3.0,375.0,True,4.0,6.086990740740741,1.0,198.0,22.36835537968262,124.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,1.0,91.0,True,2.0,145.97917824074074,1.0,197.0,22.171655315564315,123.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,4.0,3.758298611111111,1.0,196.0,21.171655315564315,38.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,358.0,True,5.0,3.983344907407407,1.0,195.0,20.171655315564315,122.0,0.0,0.0
False,1.0,5.0,5.0,2.321928094887362,5.0,5.0,336.4,True,5.0,4.076782407407407,1.0,194.0,19.33477272193114,121.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,3.0,0.0,470.0,True,4.0,45.57158564814815,1.0,10.0,1.6914172783738,6.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True,2.0,43.45326388888889,1.0,9.0,0.6914172783738,2.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,4.0,0.8830671296296296,1.0,193.0,18.528942682405447,37.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,6.0,411.0,False,5.0,13.835439814814816,1.0,166.0,23.94275915899957,65.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,6.0,105.0,False,1.0,0.0059375,1.0,165.0,22.960291626532033,47.0,0.0,0.0
False,3.0,8.0,11.0,2.767617226454612,78.0,36.0,165.9090909090909,False,5.0,0.046868686868686865,6.0,164.0,21.960291626532033,63.333333333333336,0.0,0.0
False,2.0,3.0,5.0,1.7248605841590179,318.0,12.0,111.0,False,5.0,31.418754629629632,3.0,163.0,20.962672578912986,62.0,0.0,0.0
False,2.0,2.0,2.0,0.9784493292686189,25.0,33.0,540.5,True,5.0,0.046550925925925926,2.0,162.0,19.962672578912986,61.0,0.0,0.0
False,1.0,1.0,1.0,0.0,0.0,4.0,31.0,False,1.0,0.01650462962962963,1.0,161.0,18.962672578912986,43.0,0.0,0.0
False,2.0,3.0,4.0,1.760931216141116,169.0,19.0,83.75,False,4.0,4.174108796296296,2.0,160.0,17.962672578912986,52.5,0.0,0.0
False,1.0,1.0,1.0,0.0,4.0,0.0,45.0,False,4.0,136.97908564814816,1.0,159.0,16.962672578912986,77.0,0.0,0.0
False,2.0,2.0,2.0,0.7691928290130138,40.0,0.0,21.0,False,2.0,61.544016203703706,1.0,158.0,15.962672578912986,51.5,0.0,0.0
False,1.0,1.0,1.0,0.0,0.0,0.0,30.0,False,1.0,1.1574074074074073e-05,1.0,157.0,14.962672578912986,61.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,35.0,False,3.0,0.01707175925925926,1.0,192.0,17.553975620481857,32.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,2.0,27.0,True,1.0,158.5202662037037,1.0,191.0,16.553975620481857,0.0,0.0,0.0
False,4.0,6.0,11.0,3.405822250285691,12.0,7.0,190.27272727272728,False,5.0,33.78127314814815,3.0,190.0,15.553975620481859,50.75,0.0,0.0
False,4.0,32.0,54.0,5.192064911891635,222.0,222.0,183.62962962962962,False,6.0,104.16255915637863,27.0,189.0,14.553975620481859,44.75,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,4.0,0.14505208333333336,2.0,188.0,13.58574394115178,35.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,0.0,373.0,False,5.0,0.02113425925925926,1.0,156.0,13.996005912246318,76.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,3.0,2.0,126.0,False,2.0,0.013796296296296296,1.0,187.0,12.58574394115178,14.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,1.0,126.0,False,2.0,0.013460648148148149,1.0,155.0,12.996005912246318,40.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,0.0,27.0,213.0,False,4.0,0.016412037037037037,1.0,154.0,11.996005912246318,75.0,0.0,0.0
False,1.0,2.0,2.0,0.9182958340544896,30.0,15.0,410.0,False,5.0,79.00934027777778,2.0,153.0,10.996005912246318,39.0,0.0,0.0
False,1.0,1.0,1.0,0.0,3.0,3.0,355.0,True,4.0,57.04157407407408,1.0,152.0,9.996005912246318,74.0,0.0,0.0
False,1.0,1.0,1.0,0.0,4.0,18.0,387.0,True,5.0,0.17608796296296297,1.0,151.0,8.996005912246318,73.0,0.0,0.0
False,2.0,2.0,2.0,0.4394969869215134,20.0,2.0,153.0,True,5.0,76.69850694444445,2.0,150.0,7.996005912246319,66.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,55.0,False,4.0,12.941261574074074,1.0,186.0,11.58574394115178,34.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,190.0,False,4.0,0.0003125,1.0,5.0,4.5,4.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,190.0,False,4.0,0.062002314814814816,1.0,4.0,3.5,3.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,False,4.0,0.061793981481481484,1.0,3.0,2.5,2.0,0.0,0.0
False,3.0,8.0,10.0,2.3962169386064516,39.0,11.0,316.3,True,5.0,23.707321759259266,3.0,2.0,1.5,1.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,0.5435644431995964,1.0,15.0,10.0,False,1.0,155.56987268518517,1.0,185.0,10.934223569463823,33.0,0.0,0.0
False,4.0,6.0,8.0,2.5231755948068324,46.0,18.0,225.625,True,5.0,10.647523148148148,1.0,1.0,0.5,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,5.0,35.0,59.0,4.489674669234639,2276.0,179.0,190.42372881355934,True,4.0,84.5642394460138,36.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,8.0,2.0,351.0,True,4.0,39.043252314814815,1.0,184.0,12.997794117647036,118.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,False,2.0,111.65645833333333,1.0,8.0,2.3676470588235294,1.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,470.0,False,4.0,6.605011574074074,1.0,7.0,0.36764705882352944,5.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,470.0,False,4.0,14.62079861111111,1.0,6.0,0.36764705882352944,4.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.0,False,3.0,12.703391203703704,1.0,183.0,24.365225705666877,32.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,5.0,5.0,328.0,True,3.0,0.0022800925925925927,1.0,182.0,23.40542912969383,117.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,13.0,13.0,328.0,True,3.0,0.027060185185185184,1.0,181.0,22.90542912969383,116.0,0.0,0.0
False,1.0,2.0,2.0,0.9456603046006402,11.0,11.0,328.0,True,3.0,0.7126736111111112,1.0,180.0,22.9127820708703,115.0,0.0,0.0
False,1.0,2.0,2.0,0.9798687566511527,12.0,12.0,328.0,True,3.0,6.271793981481482,1.0,179.0,21.941073387396912,114.0,0.0,0.0
False,1.0,1.0,1.0,0.0,7.0,2.0,492.0,True,3.0,11.061064814814815,1.0,178.0,20.941073387396912,113.0,0.0,0.0
False,1.0,1.0,1.0,0.0,5.0,0.0,199.0,True,4.0,66.99177083333333,1.0,177.0,19.941073387396912,112.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,7.0,122.0,False,3.0,6.23943287037037,1.0,176.0,18.941073387396912,111.0,0.0,0.0
False,1.0,1.0,1.0,0.0,3.0,3.0,2128.0,False,1.0,110.97616898148148,1.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,470.0,False,4.0,8.015787037037038,1.0,149.0,17.292715617715608,2.0,0.0,0.0
False,1.0,1.0,2.0,0.7219280948873623,5.0,5.0,76.0,False,3.0,76.37314814814815,2.0,148.0,23.635465922965913,3.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,122.0,True,3.0,0.00849537037037037,1.0,175.0,23.299322899322902,110.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,7.0,1.0,116.0,False,3.0,71.01174768518518,1.0,174.0,22.299322899322902,109.0,0.0,0.0
False,1.0,4.0,4.0,2.0,32.0,0.0,320.0,False,4.0,71.64274594907408,2.0,173.0,21.299322899322902,108.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,351.0,False,4.0,0.00015046296296296297,1.0,147.0,23.04829059829059,71.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,351.0,False,4.0,0.09155092592592592,1.0,146.0,22.04829059829059,70.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,328.0,True,4.0,0.002361111111111111,1.0,172.0,20.72493894993896,107.0,0.0,0.0
False,2.0,2.0,2.0,0.8524051786494786,54.0,0.0,312.5,False,3.0,0.00849537037037037,2.0,171.0,19.72493894993896,60.0,0.0,0.0
False,1.0,2.0,2.0,0.2761954276479391,42.0,0.0,163.0,False,4.0,0.004693287037037037,1.0,170.0,18.72493894993896,105.0,0.0,0.0
False,1.0,2.0,2.0,0.8112781244591328,12.0,20.0,310.5,False,3.0,0.0017592592592592592,1.0,169.0,17.72493894993896,104.0,0.0,0.0
False,2.0,3.0,3.0,1.352199627420641,50.0,4.0,249.0,False,3.0,71.58506558641976,3.0,168.0,16.72493894993896,58.0,0.0,0.0
False,1.0,4.0,16.0,3.509220574888337,15890.0,0.0,20.0,False,4.0,4.135010127314815,1.0,167.0,15.724938949938958,102.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,351.0,False,4.0,6.944444444444444e-05,1.0,145.0,21.100671550671542,69.0,0.0,0.0
False,1.0,1.0,1.0,0.0,0.0,1.0,352.0,False,4.0,0.0024074074074074076,1.0,144.0,20.100671550671542,68.0,0.0,0.0
False,1.0,1.0,1.0,0.0,12.0,6.0,346.0,True,4.0,0.013888888888888888,1.0,143.0,19.100671550671542,67.0,0.0,0.0
False,1.0,1.0,1.0,0.0,27.0,8.0,327.0,True,4.0,0.09487268518518518,1.0,142.0,18.100671550671542,66.0,0.0,0.0
False,1.0,1.0,1.0,0.0,15.0,8.0,320.0,False,3.0,0.5932291666666667,1.0,166.0,14.87034632034632,101.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,3.0,13.0,17.0,3.974264803058332,42.0,25.0,216.2941176470588,False,4.0,84.94503336056646,10.0,141.0,17.218223443223437,54.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,0.0,6.0,193.0,True,2.0,0.0140625,1.0,140.0,16.222985347985343,58.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,470.0,False,4.0,0.005347222222222222,1.0,139.0,15.222985347985341,1.0,0.0,0.0
False,1.0,1.0,1.0,0.0,5.0,3.0,351.0,True,3.0,79.20372685185185,1.0,138.0,14.232509157509151,37.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,470.0,True,3.0,93.01013888888889,1.0,137.0,13.232509157509151,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,2.0,0.27297453703703706,1.0,136.0,12.232509157509151,2.0,0.0,0.0
False,1.0,1.0,1.0,0.0,8.0,0.0,185.0,True,2.0,97.36949074074074,1.0,135.0,11.232509157509151,57.0,0.0,0.0
False,1.0,1.0,1.0,0.0,8.0,1.0,312.0,True,3.0,97.17709490740741,1.0,134.0,10.26108058608058,64.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,2.0,0.0018287037037037037,1.0,165.0,13.96430236430237,31.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,2.0,45.51033564814814,2.0,164.0,12.96430236430237,30.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,0.0,188.0,False,2.0,47.041689814814816,1.0,163.0,17.194877344877302,29.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,2.0,30.0,False,3.0,0.011087962962962963,1.0,132.0,19.96626984126981,4.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,2.0,30.0,False,3.0,0.018136574074074076,1.0,133.0,19.96626984126981,5.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,2.0,30.0,False,3.0,0.009189814814814816,1.0,131.0,18.96626984126981,3.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,30.0,True,3.0,0.0021412037037037038,1.0,129.0,16.96626984126981,1.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,2.0,30.0,False,3.0,60.130011574074075,1.0,130.0,15.96626984126981,2.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,30.0,False,2.0,60.130011574074075,1.0,128.0,15.96626984126981,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,2.0,2.0,0.9709505944546686,4.0,1.0,326.0,True,3.0,14.315538194444445,2.0,268.0,50.66904761904777,231.0,0.0,0.0
False,1.0,3.0,3.0,0.8791739269561951,29.0,14.0,172.33333333333334,False,3.0,23.86423611111111,3.0,267.0,49.66904761904777,230.0,0.0,0.0
False,1.0,2.0,2.0,0.6292492238560345,15.0,4.0,282.0,False,4.0,10.184230324074075,2.0,162.0,34.992857142857076,100.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,94.5,False,2.0,14.180891203703704,1.0,161.0,33.992857142857076,28.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,0.0,346.0,True,3.0,14.981319444444445,1.0,160.0,33.04047619047613,99.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,55.0,False,3.0,30.69175925925926,1.0,123.0,20.13095238095236,1.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,0.0,187.0,True,2.0,14.849166666666667,1.0,159.0,33.685714285714226,98.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,0.0,242.0,True,2.0,1.0179166666666666,1.0,158.0,54.56666666666662,97.0,0.0,0.0
False,1.0,2.0,3.0,0.993897263936423,19.0,3.0,308.6666666666667,True,4.0,7.545547839506171,3.0,127.0,30.18333333333329,63.0,0.0,0.0
False,2.0,3.0,3.0,1.305803563478725,18.0,9.0,200.0,True,4.0,23.779714506172837,3.0,126.0,29.349999999999955,59.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,3.0,3.0,1.584962500721156,3.0,3.0,320.0,True,4.0,1.9982638888888886,2.0,266.0,87.71666666666675,229.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,2.0,2.0,0.7219280948873623,5.0,5.0,320.0,True,4.0,1.5081712962962963,2.0,265.0,86.71666666666675,228.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,0.0,241.0,True,2.0,0.03408564814814815,1.0,264.0,85.8000000000001,227.0,0.0,0.0
False,2.0,2.0,2.0,0.7131467486384921,13.0,33.0,97.5,True,3.0,12.305185185185184,2.0,263.0,85.33333333333343,122.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,0.0,257.0,False,3.0,4.734155092592593,1.0,262.0,84.5500000000001,225.0,0.0,0.0
False,1.0,2.0,2.0,0.9182958340544896,3.0,3.0,269.0,False,4.0,9.972447916666667,2.0,261.0,83.88333333333343,224.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,0.0,235.0,False,2.0,3.8735300925925924,1.0,260.0,82.88333333333343,223.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,35.0,35.0,320.0,False,3.0,0.29866898148148147,1.0,259.0,82.18333333333342,222.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,5.0,5.0,2.2359263506290326,0.0,7.0,321.4,False,4.0,0.16398379629629628,2.0,258.0,82.13333333333344,221.0,0.0,0.0
False,1.0,4.0,4.0,2.0,64.0,4.0,306.5,False,4.0,0.6852430555555555,2.0,157.0,56.683333333333294,96.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,3.0,3.0,1.584962500721156,3.0,3.0,311.6666666666667,True,4.0,0.001712962962962963,1.0,257.0,83.85000000000014,220.0,0.0,0.0
False,1.0,5.0,5.0,2.180957332409844,11.0,10.0,309.2,True,4.0,0.2669699074074074,5.0,256.0,82.85000000000014,219.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
