'prediction margin';'predicted bugs';contains_bug;ns;nd;nf;entropy;la;ld;lt;fix;ndev;age;nuc;exp;rexp;sexp;glm_probability;rf_probability
0.932091;False;False;0;0;0;0;0;0;0;False;0;0;0;0;0;0;0;0
0.932091;False;False;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0
0.932091;False;False;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0
0.932091;False;False;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0
0.14;True;False;1;1;1;0;6;1;411;True;5;47.717.708;1;7;7;0;0;0
0.932091;False;False;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0
0.58;False;False;1;1;2;1;2;2;95.5;False;4;43.158.553;1;6;6;0;0;0
-0.06;False;False;1;2;2;1;8;8;338;True;6;1.884.317;1;5;5;4;0;0
-0.04;False;False;1;2;2;1;8;8;337;True;5;1.872.627;1;4;4;3;0;0
-0.339394;False;False;1;1;1;0;0;18;235;True;4;1.037.338;1;3;3;2;0;0
-0.64;False;False;1;1;1;0;4;10;21;True;1;0.709063;1;2;2;1;0;0
-0.34;True;False;1;4;4;2;8;4;336.5;False;5;42.008.831;1;1;1;0;0;0
-0.1;True;False;1;10;11;2.877.875;94;7;195.727.273;False;5;61.444.349;5;0;0;0;0;0